AATSC1v,MATS7v,SpMax4_Bhe,khs.tsC,GATS5c,nHBint3,SHdNH,SHBint7,nFRing,WTPT-4,WTPT-2,ETA_Eta,AATSC1m,Class
0.9866,-0.0006,3.8599,0,1.1829,0,0.0,0.0,0,0.0,0.0,37.576,1.0943,NonToxic
0.0795,-0.0789,3.8289,0,1.0809,0,0.0,0.0,2,8.866,2.1204,30.687,2.059,NonToxic
0.688,-0.2021,3.7322,2,1.6146,0,0.0,0.0,6,5.2267,2.085,33.4316,0.7585,NonToxic
1.8164,-0.257,3.7323,2,1.4148,0,0.0,7.9814,6,7.7896,2.0797,35.2678,0.2592,NonToxic
1.1654,-0.0467,3.8687,0,1.0794,0,0.0,0.0,13,12.324,2.1092,34.2891,2.183,NonToxic
3.0944,-0.0264,3.7377,0,1.3562,0,0.0,0.0,6,15.6022,2.085,32.8984,0.4875,NonToxic
1.2845,-0.0639,3.9077,0,1.4138,0,0.0,0.0,4,13.0472,2.1062,33.2636,1.2705,NonToxic
1.6557,-0.0119,3.7536,0,1.1364,0,0.0,0.0,4,5.8514,2.119,26.7235,2.1382,NonToxic
2.2018,0.0286,3.6695,0,1.2414,0,0.0,0.0,4,11.4702,2.1143,18.6822,1.0411,NonToxic
1.4617,-0.1,3.739,0,1.2455,0,0.0,0.0,2,12.8973,2.0821,29.5425,1.3918,NonToxic
-0.6507,-0.1456,3.7834,0,1.0913,0,0.0,0.0,2,13.598,2.0771,27.4942,1.6204,NonToxic
-0.0724,-0.006,3.806,0,1.4093,0,0.0,0.0,7,3.2541,2.1374,29.8887,2.6006,NonToxic
0.9779,-0.0613,3.8148,0,1.3406,0,0.0,0.0,1,0.0,2.1141,20.5839,2.1375,NonToxic
0.6964,-0.0696,3.7247,0,1.1314,0,0.0,0.0,2,8.2975,2.0987,29.5205,3.2688,NonToxic
1.217,0.1689,3.7042,0,0.6162,0,0.0,0.0,3,10.1602,2.0988,30.4341,1.4786,NonToxic
3.5291,0.141,3.623,0,1.408,0,0.0,0.0,6,2.5728,2.1192,27.0401,1.488,NonToxic
1.8096,0.0121,3.8471,0,1.4922,1,0.0,4.9166,6,7.8241,2.0899,38.6182,1.0752,NonToxic
8.8355,-0.1512,3.6364,0,1.0356,0,0.0,22.9015,140,20.7804,2.1148,36.3157,-2.4513,NonToxic
1.1503,0.1358,3.8795,0,1.128,0,0.0,0.0,1,10.0416,2.08,38.1567,2.7417,NonToxic
3.6012,-0.0856,3.7088,2,1.3092,0,0.0,0.0,7,2.6097,2.1144,37.8099,1.5916,NonToxic
-0.4209,0.0427,3.8394,0,0.9606,0,0.0,0.0,10,8.7879,2.132,41.2901,2.7429,NonToxic
1.9102,-0.1338,3.8238,0,1.3949,0,0.0,0.0,2,5.7866,2.0898,27.9864,1.5716,NonToxic
1.7875,-0.0334,3.6431,0,1.1693,0,0.0,0.0,46,5.2657,2.1661,23.1095,1.5197,NonToxic
1.6992,-0.1812,3.7694,0,1.2029,0,0.0,8.3487,2,10.0563,2.0901,24.5632,0.7231,NonToxic
0.9005,-0.0754,3.7044,0,1.168,0,0.0,0.0,4,12.8228,2.0752,40.8578,7.7897,NonToxic
