WTPT-1,JGI9,JGI4,khs.dssC,GATS8s,nAtomLAC,BCUTw-1l,JGI7,minaasC,EE_Dt,minssCH2,WTPT-2,nG,Class
0.0,0.0092,0.0498,0,1.0575,0,11.85,0.0144,0.0,709.7827,0.0,0.0,0,NonToxic
91.1776,0.0059,0.0339,2,1.7013,0,11.85,0.0092,-0.1122,706.1891,0.0,2.1204,0,NonToxic
91.7413,0.0062,0.0472,0,0.7828,0,11.9961,0.0141,-0.0928,709.7827,0.0,2.085,0,NonToxic
93.5887,0.0072,0.0484,0,1.0298,0,11.9961,0.0145,-0.1442,709.7827,0.0,2.0797,0,NonToxic
92.8035,0.0083,0.0398,2,0.7427,0,11.9883,0.0114,-0.0525,709.7827,0.406,2.1092,0,NonToxic
91.7392,0.0075,0.0483,6,0.884,0,11.9883,0.013,0.1047,709.7827,0.0,2.085,0,NonToxic
92.6743,0.0085,0.0365,5,1.0788,0,11.85,0.0128,0.1281,709.7827,0.0,2.1062,0,NonToxic
78.4031,0.0069,0.0327,1,0.6483,0,11.85,0.0126,0.5479,552.9903,0.0,2.119,0,NonToxic
65.5437,0.0083,0.046,0,1.7228,0,11.85,0.0108,0.0189,465.6785,0.0,2.1143,0,NonToxic
74.9563,0.0092,0.0431,4,1.1755,0,11.85,0.0136,0.3946,470.0171,-0.2955,2.0821,2,NonToxic
76.8536,0.0068,0.04,4,0.9378,0,11.89,0.0135,0.1897,490.6742,0.0,2.0771,0,NonToxic
83.3567,0.0059,0.0362,0,1.0954,0,11.85,0.0106,0.4841,682.1972,0.0,2.1374,0,NonToxic
69.7668,0.0026,0.0283,0,0.9802,0,11.85,0.0122,0.8249,394.685,0.0,2.1141,0,NonToxic
73.4532,0.0067,0.0356,2,0.7651,0,11.85,0.0114,0.5586,462.6545,0.5798,2.0987,0,NonToxic
81.8527,0.0093,0.0309,4,0.6571,0,11.85,0.0167,0.5022,501.4645,0.0,2.0988,0,NonToxic
80.5302,0.0072,0.0187,3,1.625,0,11.85,0.0083,0.492,660.4769,0.0,2.1192,0,NonToxic
89.8639,0.0073,0.0351,3,1.3143,2,11.9882,0.0134,-0.3146,709.7827,0.316,2.0899,1,NonToxic
