SpMax4_Bhm,MATS7v,maxssNH,MATS6s,ATSC2e,minsF,MDEN-22,VR1_Dt,ATSC5e,ATSC5m,AATSC6e,SsF,SpMax5_Bhm
3.8311,-0.0006,0.0,0.0338,0.9281,0.0,0.0909,1022.946,-1.8717,-470.403,0.0037,0.0,3.6046
3.7767,-0.0789,0.0,-0.062,3.1298,0.0,1.9366,718.1386,0.7864,399.0852,-0.0093,0.0,3.7457
3.6912,-0.2021,0.0,0.2006,1.3313,0.0,1.6708,4000426.093,-3.9153,-1006.6575,0.0119,0.0,3.6591
3.6914,-0.257,0.0,0.1267,0.9338,0.0,0.7663,2023.8037,-3.472,-815.0494,0.0037,0.0,3.6651
3.831,-0.0467,0.0,-0.0427,1.8548,0.0,0.1429,350.9417,-1.6947,-592.9281,0.0036,0.0,3.6065
3.6874,-0.0264,2.7191,0.0183,0.6858,0.0,0.1667,4000453.337,-1.7315,-751.4012,0.0047,0.0,3.6613
3.8796,-0.0639,0.0,0.0427,1.4803,0.0,0.0,3000433.019,-2.5273,-408.73,0.0049,0.0,3.5406
3.6856,-0.0119,0.0,-0.1076,0.6138,0.0,1.0,776.511,-1.1249,-529.3589,-0.0052,0.0,3.5431
3.6378,0.0286,0.0,-0.1134,1.3635,0.0,1.0,378.9705,0.0259,329.5432,-0.0176,0.0,3.3466
3.7028,-0.1,0.0,-0.0512,1.2153,0.0,0.0,3000338.19,-0.4736,-78.4207,-0.0071,0.0,3.3177
3.7368,-0.1456,0.0,-0.0197,1.719,0.0,0.0714,2000295.006,-0.491,-358.6325,0.0034,0.0,3.4118
3.7581,-0.006,0.0,-0.0057,1.0963,0.0,2.0502,432.0866,-0.6459,150.8196,0.0011,0.0,3.6153
3.7551,-0.0613,0.0,-0.1611,0.6234,0.0,1.1447,280.1635,-0.4897,70.1691,-0.0074,0.0,3.5819
3.6436,-0.0696,0.0,-0.0615,0.5818,0.0,0.0,540.8835,-1.4849,-735.5297,-0.0045,0.0,3.4443
3.6616,0.1689,0.0,-0.0601,1.5332,0.0,0.0,360.913,-0.7795,-1439.9212,-0.0006,0.0,3.5853
3.5513,0.141,3.159,-0.0475,0.2979,0.0,1.8257,644.1864,-0.3656,-634.3788,-0.0016,0.0,3.5513
3.8198,0.0121,2.8933,0.0906,1.4128,13.2575,0.1111,412.6191,-1.391,-124.3604,0.0062,13.2575,3.6825
3.6001,-0.1512,0.0,0.0625,0.0949,0.0,0.0,1081.2105,-3.6002,-1159.3869,0.0087,0.0,3.3347
3.837,0.1358,0.0,-0.0951,1.937,0.0,0.3333,707.5113,-2.1506,-588.2013,-0.0081,0.0,3.7416
3.6477,-0.0856,0.0,0.2728,0.7335,0.0,0.0,2446.6615,-0.0447,396.0044,0.0075,0.0,3.6477
3.8057,0.0427,0.0,-0.0863,1.0492,0.0,0.8255,642.7521,0.1255,-353.3787,-0.0055,0.0,3.6108
3.775,-0.1338,2.9908,-0.0469,1.163,0.0,1.0837,393.4225,-0.7859,702.8811,-0.0044,0.0,3.5071
3.5961,-0.0334,0.0,-0.1904,0.5753,0.0,0.0,4229.8486,-0.9116,-546.1569,-0.0093,0.0,3.3845
3.7114,-0.1812,0.0,0.0839,1.6467,0.0,0.5,986.0196,-2.2151,-486.1547,0.0151,0.0,3.4869
3.6233,-0.0754,0.0,-0.226,2.3351,0.0,0.0,769.2294,-3.0802,-916.4682,-0.0137,0.0,3.4993
3.7196,0.0201,3.6765,-0.0195,2.2322,0.0,0.1429,415.4847,-1.3386,-1495.1283,-0.0018,0.0,3.4699
3.8008,0.0019,2.733,0.0806,0.7839,0.0,3.7139,3418.2837,-2.602,-7.3404,0.0277,0.0,3.7601
3.5729,0.0293,0.0,-0.0956,1.6065,0.0,0.0,312.0307,-2.7333,-769.5951,-0.0003,0.0,3.5135
3.777,-0.0548,0.0,-0.0934,1.2433,0.0,0.1429,322.7445,-1.2861,-464.2131,-0.003,0.0,3.5619
3.6742,-0.0295,3.1019,-0.1073,1.6697,0.0,4.0613,5000373.954,-2.4237,-1350.6092,-0.0084,0.0,3.6677
3.5461,-0.1789,0.0,0.1859,1.2902,0.0,0.0,302.5145,-0.6968,738.956,0.0169,0.0,3.3312
3.7101,-0.1369,0.0,-0.1093,-0.9067,0.0,0.0588,685.4556,0.1074,821.9259,-0.0023,0.0,3.5885
3.7844,-0.0905,0.0,-0.0266,-0.0165,0.0,0.1429,329.6032,-0.9598,-115.8251,0.0005,0.0,3.5694
3.7759,0.0274,0.0,0.0982,1.0183,0.0,0.8255,437.5271,-0.2885,-260.2998,-0.0008,0.0,3.6061
3.8213,-0.0397,3.0997,0.1129,0.5274,0.0,0.0,1624.6611,1.6013,785.8889,0.005,0.0,3.5774
3.6227,-0.0348,2.8674,0.0442,1.7191,0.0,0.0,574.9114,0.1922,67.424,0.0049,0.0,3.4883
3.7145,-0.0086,0.0,0.1722,1.0952,0.0,0.0,560.798,-0.287,114.7726,0.0118,0.0,3.5901
3.7311,0.0554,0.0,0.1021,0.4926,0.0,0.0,816.5697,-0.3231,-362.6119,0.0115,0.0,3.7005
3.7578,-0.0613,0.0,0.0882,1.0997,14.3285,0.3333,668.2526,0.4238,-452.5776,0.0104,14.3285,3.5113
3.4795,-0.042,0.0,-0.0995,1.7886,0.0,0.0,1231.4245,-2.374,-305.5902,0.0038,0.0,3.2832
3.6891,-0.0983,2.726,-0.031,0.6858,0.0,0.1429,893.9692,-2.094,-894.1514,-0.0031,0.0,3.6612
